기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||코인게코 리서치, 올해 가장 인기 있는 블록체인으로 '솔라나' 선정|||https://www.tokenpost.kr/article-170398|||31.0%||||||비트코인시세||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||""이더리움도 제쳤다""…솔라나, 밈코인 열풍에 30배 '껑충'|||https://n.news.naver.com/mnews/article/003/0012443673?sid=101|||31.0%||||||이더리움시세||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||[토큰포스트 마감 브리핑] 美 하원 금융위원장 ""SEC 'ETH=증권' 주장 무리수""...|||https://www.tokenpost.kr/article-170331|||31.0%||||||리플시세||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||로빈후드, 안드로이드용 암호화폐 지갑 출시|||https://www.digitaltoday.co.kr/news/articleView.html?idxno=510408|||31.0%||||||코인시세||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||[코툰] “반감기, 비트코인 가격에 충분히 반영 안돼""|||http://coinreaders.com/103311|||31.0%||||||비트코인하는법||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||[토큰포스트 저녁 브리핑] 비트코인, 하루 8% 하락...FTX 파산 이후 최대 낙폭|||https://www.tokenpost.kr/article-170143|||31.0%||||||비트코인가격||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||[토큰포스트 마감 브리핑] 비트코인 현물 ETF서 3억2000만 달러 순유출 外|||https://www.tokenpost.kr/article-170107|||31.0%||||||가상화폐||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||밈코인 '슬러프', 출시 첫날 이더리움  DEX  일일 거래액 추월|||https://decenter.kr/NewsView/2D6PKYRGSM|||31.0%||||||가상화폐시세||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||업비트  거래소 에서 금일 가장 주목 받는 가상화폐는…|||https://www.khgames.co.kr/news/articleView.html?idxno=225865|||31.0%||||||코인거래소||||||"
"2024-03-22|||일별 급상승|||DEX거래소|||디지털자산,암호화폐|||4370.0|||60.74%|||[저녁브리핑] 나홀로 치솟는 솔라나…밈코인 투자 과열 우려 목소리도|||https://www.tokenpost.kr/article-169945|||31.0%||||||블록체인||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||스위스,  금리 인하  스타트 끊었다…글로벌 피벗 ‘신호탄’|||https://biz.newdaily.co.kr/site/data/html/2024/03/22/2024032200130.html|||0.0%||||||엔화환율||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||대신증권, 2분기 증시전망 라이브 세미나 진행|||https://www.ebn.co.kr/news/view/1616879/?sc=Naver|||0.0%||||||엔화||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||비트코인 ETF 유입, 시장 영향은 한 조각일 뿐|||https://www.tokenpost.kr/article-170425|||0.0%||||||테슬라주가||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||대신증권, 2분기 증시전망 온라인 세미나 실시|||http://www.newsworks.co.kr/news/articleView.html?idxno=747482|||0.0%||||||유로환율||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||[EBN 오늘(22일) 이슈 종합] ‘모자의 난’ 한미약품 주총 D-6, CJ제일제당發...|||https://www.ebn.co.kr/news/view/1616876/?sc=Naver|||0.0%||||||환율조회||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||금리인하  공약?… 선거판에 소환된 한은[취재수첩]|||https://n.news.naver.com/mnews/article/021/0002627987?sid=101|||0.0%||||||중국환율||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||'비둘기' 美연준에 스위스  금리 인하 까지…""서방 물가우려 완화""|||https://n.news.naver.com/mnews/article/001/0014582088?sid=101|||0.0%||||||다우존스||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||‘차이나런’에 마음 급한 중국…”시진핑, 미국 기업 대표들 만난다”|||https://n.news.naver.com/mnews/article/025/0003349144?sid=104|||0.0%||||||다우나스닥||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||헝가리 외국인직접투자, 2023년 최대 실적 달성|||http://dream.kotra.or.kr/kotranews/cms/news/actionKotraBoardDetail.do?SITE_NO=3&MENU_ID=100&CONTENTS_NO=1&bbsGbn=322&bbsSn=322&pNttSn=213364|||0.0%||||||원달러환율||||||"
"2024-03-22|||일별 급상승|||금리인하|||미국주식,WTI,미국금리|||63700.0|||56.16%|||고정 금리  vs 변동 금리 …대출  금리 , 뭘 선택해야 할까|||http://www.dailypop.kr/news/articleView.html?idxno=75829|||0.0%||||||해외증시||||||"
"2024-03-22|||일별 급상승|||대여금반환청구소송|||채권|||3910.0|||130.85%|||[POP이슈]""배우? 호구 아냐""라던 재희, 사기 혐의 피소 전 개인회생 신청했나|||https://n.news.naver.com/mnews/article/112/0003687514?sid=106|||65.1%||||||계약갱신청구권||||||"
