기준일자|||유형|||연관검색어|||검색키워드|||검색량|||지표|||뉴스제목|||뉴스링크|||활동성|||구글검색어|||네이버검색어|||상승월|||
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||주거복지·건설경기 활성화... LH 경기남부, 두 마리 토끼 사냥 [핫이슈]|||https://n.news.naver.com/mnews/article/666/0000036319?sid=101|||0.0%||| |||주택청약||| |||"
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||인천계양, 사전청약 3년만  본청약 …""짓긴 하는 거야?""|||https://biz.newdaily.co.kr/site/data/html/2024/03/15/2024031500155.html|||0.0%||| |||아파트실거래가조회||| |||"
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||"" 3기신도시  땅 풀린다""…LH 올해 65필지 매각|||https://n.news.naver.com/mnews/article/648/0000024046?sid=101|||0.0%||| |||은마아파트||| |||"
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||LH,  3기신도시  9월 인천 계양부터  본청약  개시...전국 11개 단지 5809가구 공...|||https://www.tfmedia.co.kr/news/article.html?no=159929|||0.0%||| |||아파트청약||| |||"
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%||| 3기 신도시 본청약 , 9월 인천계양 '첫발'|||https://n.news.naver.com/mnews/article/009/0005272503?sid=101|||0.0%||| |||무순위청약||| |||"
2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||[단독] “내집 마련 기회 온건가”…분상제 적용 ‘이곳’ 올해 4500가구 쏟아...|||https://n.news.naver.com/mnews/article/009/0005272396?sid=101|||0.0%||| |||LH청약||| |||
2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||싼 매물 찾아 탈서울 했는데… 수도권 전셋값도 '들썩' [현장르포]|||https://n.news.naver.com/mnews/article/014/0005154357?sid=101|||0.0%||| |||우미린||| |||
"2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||[르포] ""전세 매물이요?...무섭게 빠집니다"".. 수도권 전세시장 '들썩'|||https://n.news.naver.com/mnews/article/014/0005154311?sid=101|||0.0%||| |||3기신도시||| |||"
2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||4.5% 이자에 분양 땐 2%대 대출...청년 새 청약통장 출시|||https://n.news.naver.com/mnews/article/052/0002000511?sid=101|||0.0%||| |||고덕아르테온||| |||
2024-03-21|||주별 급상승|||3기신도시본청약|||아파트청약|||1850.0|||12.82%|||4.5% 이자에 분양 땐 2%대 대출...청년 새 청약통장 출시|||https://n.news.naver.com/mnews/article/052/0002000364?sid=101|||0.0%||| |||아파트전세||| |||
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||금융당국 ""금융권, 2월까지 상생금융 1조265억원 지원""|||http://www.paxetv.com/news/articleView.html?idxno=199111|||0.0%||| |||건강보험||| |||"
2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||[카드News]신한카드·현대카드·KB국민카드|||http://www.metroseoul.co.kr/article/20240320500354|||0.0%||| |||간병인보험||| |||
2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||베이진 면역항암제 '테빔브라' 급여 재진입 노린다|||https://www.medipana.com/article/view.php?news_idx=324166&sch_cate=D|||0.0%||| |||건강보험료||| |||
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||고려저축은행, 서민금융진흥원과 손잡고 '휴면예금∙ 보험 금 찾기 서비스' 출시|||https://www.psnews.co.kr/news/articleView.html?idxno=2050036|||0.0%||| |||암보험||| |||"
2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||[머니+]이번주부터 4대 금융지주 주총…관전 포인트는?|||https://www.businessplus.kr/news/articleView.html?idxno=56853|||0.0%||| |||농협손해보험||| |||
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||NH투자증권 ""동양생명, 경영진의 높은 주주환원 의지""…목표가↑|||https://www.businessplus.kr/news/articleView.html?idxno=56843|||0.0%||| |||보험||| |||"
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||네오펙트, ‘스탠포드 메디칼 헬스케어’에 밴더 등록 완료|||https://n.news.naver.com/mnews/article/018/0005695835?sid=101|||0.0%||| |||메리츠||| |||"
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||삼성생명, 외국인 고객케어서비스…교보생명, 청소년 금융활동 역량강화 [금융...|||http://www.sisaon.co.kr/news/articleView.html?idxno=159587|||0.0%||| |||AIG손해보험||| |||"
"2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||삼성생명, '외국인 고객 케어 서비스' 실시|||http://www.biztribune.co.kr/news/articleView.html?idxno=307206|||0.0%||| |||건강||| |||"
2024-03-21|||주별 급상승|||CI보험|||건강보험|||6690.0|||2.38%|||[ 보험 브리핑]NH농협생명·삼성생명·신한라이프|||http://www.metroseoul.co.kr/article/20240319500418|||0.0%||| |||MRI보험적용||| |||
2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||“코인 개미 붙잡자”… 증권사 고객 유치에 팔걷어|||https://www.ekn.kr/web/view.php?key=20240318026277081|||0.0%||| |||국민연금||| |||
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||[증권소식] 금감원 ""주총서 의결권 불성실하게 행사한 운용사 공개""/KIC, 실리...|||https://www.asiatime.co.kr/article/20240315500262|||0.0%||| |||NH투자증권||| |||"
2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||[더벨][금융사 KPI 점검/신한은행]수익성 실현 최우선 ‘재무’ 평가 배점 올...|||https://www.thebell.co.kr/free/content/ArticleView.asp?key=202403081412547440101028|||0.0%||| |||나무증권||| |||
2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||[기획] ‘고공행진’ 금값에 ‘골드러시’ 나서볼까|||https://weekly.cnbnews.com/news/article.html?no=158722|||0.0%||| |||주택연금||| |||
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||미래에셋, 상장 1개월 ‘TIGER 1년은행양도성예금증서액티브 ETF’ 수익률 1위|||https://www.cnbnews.com/news/article.html?no=647697|||0.0%||| |||IRP세액공제||| |||"
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||미래에셋운용 1년 은행CD TIGER ETF, 금리형 종목 수익률 1위|||http://www.finomy.com/news/articleView.html?idxno=207982|||0.0%||| |||IRP퇴직연금수령||| |||"
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||미래에셋운용, ""1년 은행CD금리 ETF…금리형 ETF 중 수익률 1위""|||http://www.metroseoul.co.kr/article/20240310500147|||0.0%||| |||퇴직연금IRP||| |||"
2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||[증권상품 풍향계] 국내 첫 주단위 콜옵션 매도 ETF 상장 '눈길'|||https://www.sisajournal-e.com/news/articleView.html?idxno=401075|||0.0%||| |||ISA서민형||| |||
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||미래에셋운용 1년은행CD ETF, 금리형 ETF 수익률 1위|||https://www.apnews.kr/news/articleView.html?idxno=3016875|||0.0%||| |||삼성증권고객센터||| |||"
"2024-03-21|||주별 급상승|||ISA거래수수료|||중개형ISA|||80.0|||2.46%|||미래에셋, 'TIGER 1년은행양도성예금증서액티브(합성) ETF' 금리형 ETF 수익률...|||http://www.queen.co.kr/news/articleView.html?idxno=407872|||0.0%||| |||연금저축보험||| |||"
2024-03-21|||주별 급상승|||ISA중개형이벤트|||중개형ISA|||120.0|||1.97%|||“코인 개미 붙잡자”… 증권사 고객 유치에 팔걷어|||https://www.ekn.kr/web/view.php?key=20240318026277081|||0.0%||| |||국민연금||| |||
"2024-03-21|||주별 급상승|||ISA중개형이벤트|||중개형ISA|||120.0|||1.97%|||[A 증권가 소식] NH투자증권, THE100리포트 89호 발간 外|||http://www.asiaa.co.kr/news/articleView.html?idxno=163277|||0.0%||| |||NH투자증권||| |||"
"2024-03-21|||주별 급상승|||ISA중개형이벤트|||중개형ISA|||120.0|||1.97%|||[증권소식] 금감원 ""주총서 의결권 불성실하게 행사한 운용사 공개""/KIC, 실리...|||https://www.asiatime.co.kr/article/20240315500262|||0.0%||| |||나무증권||| |||"
2024-03-21|||주별 급상승|||ISA중개형이벤트|||중개형ISA|||120.0|||1.97%|||유안타·NH·하나증·삼성자산·신한자산운용 [Daily Pick 증권]|||https://www.ngetnews.com/news/articleView.html?idxno=503288|||0.0%||| |||주택연금||| |||
