date,그림판매
2020-03-20,53.6
2020-03-21,53.6
2020-03-22,52.8
2020-03-23,64.0
2020-03-24,77.6
2020-03-25,68.79999
2020-03-26,63.2
2020-03-27,49.6
2020-03-28,63.2
2020-03-29,61.6
2020-03-30,64.0
2020-03-31,38.4
2020-04-01,46.4
2020-04-02,46.4
2020-04-03,64.0
2020-04-04,48.8
2020-04-05,35.2
2020-04-06,49.6
2020-04-07,46.4
2020-04-08,42.4
2020-04-09,52.0
2020-04-10,51.2
2020-04-11,63.2
2020-04-12,59.2
2020-04-13,51.2
2020-04-14,32.8
2020-04-15,40.79999
2020-04-16,42.4
2020-04-17,51.2
2020-04-18,46.4
2020-04-19,54.4
2020-04-20,48.8
2020-04-21,68.0
2020-04-22,56.0
2020-04-23,48.8
2020-04-24,61.6
2020-04-25,61.6
2020-04-26,60.8
2020-04-27,46.4
2020-04-28,47.2
2020-04-29,52.8
2020-04-30,44.0
2020-05-01,46.4
2020-05-02,52.0
2020-05-03,56.0
2020-05-04,44.8
2020-05-05,44.0
2020-05-06,41.6
2020-05-07,40.79999
2020-05-08,52.8
2020-05-09,40.79999
2020-05-10,44.8
2020-05-11,44.0
2020-05-12,52.0
2020-05-13,48.8
2020-05-14,41.6
2020-05-15,49.6
2020-05-16,49.6
2020-05-17,47.2
2020-05-18,62.4
2020-05-19,43.2
2020-05-20,69.59999
2020-05-21,56.79999
2020-05-22,52.0
2020-05-23,53.6
2020-05-24,48.8
2020-05-25,41.6
2020-05-26,50.4
2020-05-27,45.6
2020-05-28,40.0
2020-05-29,31.2
2020-05-30,41.6
2020-05-31,44.0
2020-06-01,56.79999
2020-06-02,44.8
2020-06-03,62.4
2020-06-04,48.8
2020-06-05,24.0
2020-06-06,53.6
2020-06-07,40.79999
2020-06-08,46.4
2020-06-09,35.2
2020-06-10,38.4
2020-06-11,40.79999
2020-06-12,52.0
2020-06-13,39.2
2020-06-14,44.8
2020-06-15,52.8
2020-06-16,42.4
2020-06-17,40.79999
2020-06-18,48.0
2020-06-19,47.2
2020-06-20,42.4
2020-06-21,55.2
2020-06-22,39.2
2020-06-23,32.0
2020-06-24,42.4
2020-06-25,54.4
2020-06-26,43.2
2020-06-27,46.4
2020-06-28,58.4
2020-06-29,51.2
2020-06-30,72.8
2020-07-01,46.4
2020-07-02,65.6
2020-07-03,47.2
2020-07-04,35.2
2020-07-05,46.4
2020-07-06,35.2
2020-07-07,38.4
2020-07-08,46.4
2020-07-09,36.0
2020-07-10,41.6
2020-07-11,64.8
2020-07-12,51.2
2020-07-13,47.2
2020-07-14,40.79999
2020-07-15,33.6
2020-07-16,83.2
2020-07-17,46.4
2020-07-18,55.2
2020-07-19,54.4
2020-07-20,51.2
2020-07-21,30.4
2020-07-22,57.6
2020-07-23,67.2
2020-07-24,38.4
2020-07-25,37.6
2020-07-26,52.0
2020-07-27,32.8
2020-07-28,52.0
2020-07-29,42.4
2020-07-30,52.8
2020-07-31,36.0
2020-08-01,42.4
2020-08-02,43.2
2020-08-03,52.8
2020-08-04,60.0
2020-08-05,41.6
2020-08-06,40.79999
2020-08-07,37.6
2020-08-08,37.6
2020-08-09,48.8
2020-08-10,48.8
2020-08-11,52.8
2020-08-12,35.2
2020-08-13,40.79999
2020-08-14,48.0
2020-08-15,32.0
2020-08-16,43.2
2020-08-17,43.2
2020-08-18,53.6
2020-08-19,31.2
2020-08-20,39.2
2020-08-21,35.2
2020-08-22,47.2
2020-08-23,43.2
2020-08-24,64.0
2020-08-25,48.8
2020-08-26,52.0
2020-08-27,52.0
2020-08-28,59.2
2020-08-29,52.0
2020-08-30,35.2
