date,카드발급혜택
2020-03-24,12
2020-03-25,14
2020-03-27,10
2020-04-02,14
2020-04-07,16
2020-04-08,18
2020-04-14,10
2020-04-18,10
2020-04-19,10
2020-04-20,10
2020-04-21,12
2020-04-22,12
2020-04-26,10
2020-05-01,14
2020-05-04,14
2020-05-05,12
2020-05-09,12
2020-05-12,10
2020-05-14,12
2020-05-16,10
2020-05-21,10
2020-05-24,14
2020-05-26,10
2020-05-31,14
2020-06-01,10
2020-06-08,12
2020-06-12,12
2020-06-17,10
2020-06-21,12
2020-06-22,10
2020-07-02,20
2020-07-11,18
2020-07-12,14
2020-07-13,12
2020-07-14,10
2020-07-15,10
2020-07-16,14
2020-07-18,12
2020-07-23,14
2020-08-05,10
2020-08-10,10
2020-08-11,18
2020-08-13,12
2020-08-21,10
2020-08-22,12
2020-09-01,16
2020-09-02,12
2020-09-22,10
2020-09-24,10
2020-09-29,10
2020-10-01,12
2020-10-02,10
2020-10-06,18
2020-10-12,22
2020-10-15,14
2020-10-20,12
2020-10-25,14
2020-10-26,10
2020-10-27,12
2020-10-28,10
2020-11-02,22
2020-11-05,20
2020-11-06,10
2020-11-08,10
2020-11-10,20
2020-11-11,14
2020-11-14,12
2020-11-16,10
2020-11-19,14
2020-11-20,10
2020-12-05,24
2020-12-06,16
2020-12-07,12
2020-12-09,14
2020-12-14,10
2020-12-15,10
2020-12-16,14
2020-12-20,10
2020-12-21,10
2020-12-23,16
2020-12-28,10
2020-12-29,16
2021-01-03,10
2021-01-04,10
2021-01-05,12
2021-01-06,26
2021-01-08,10
2021-01-10,18
2021-01-12,10
2021-01-13,24
2021-01-14,16
2021-01-17,18
2021-01-18,16
2021-01-19,18
2021-01-20,12
2021-01-21,10
2021-01-22,14
2021-01-23,18
2021-01-29,18
2021-01-30,18
2021-02-01,14
2021-02-02,14
2021-02-03,12
2021-02-04,10
2021-02-09,10
2021-02-13,20
2021-02-15,16
2021-02-16,10
2021-02-17,16
2021-02-18,14
2021-02-19,18
2021-02-21,12
2021-02-22,16
2021-02-23,18
2021-02-26,10
2021-02-27,14
2021-02-28,10
2021-03-01,14
2021-03-02,10
2021-03-03,26
2021-03-05,12
2021-03-08,10
2021-03-10,10
2021-03-11,10
2021-03-12,14
2021-03-14,10
2021-03-16,10
2021-03-19,20
2021-03-20,10
2021-03-21,16
2021-03-23,10
2021-03-25,26
2021-03-31,14
2021-04-01,10
2021-04-05,34
2021-04-06,20
2021-04-12,12
2021-04-13,10
2021-04-14,22
2021-04-15,10
2021-04-16,14
2021-04-19,12
2021-04-20,16
2021-04-25,12
2021-04-26,22
2021-04-29,10
2021-05-02,12
2021-05-03,10
2021-05-04,14
2021-05-05,20
2021-05-07,26
2021-05-09,12
2021-05-10,12
2021-05-12,12
2021-05-15,10
2021-05-16,18
2021-05-17,12
2021-05-20,10
2021-05-21,24
2021-05-24,10
2021-05-25,12
2021-05-26,10
2021-06-01,20
2021-06-02,14
2021-06-03,16
2021-06-04,14
2021-06-05,16
2021-06-06,12
2021-06-08,20
2021-06-09,10
2021-06-10,12
2021-06-12,14
2021-06-15,20
2021-06-16,14
2021-06-17,12
2021-06-20,10
2021-06-21,12
2021-06-22,22
2021-06-25,16
2021-06-28,10
2021-06-30,10
2021-07-01,20
2021-07-02,10
2021-07-04,14
2021-07-06,24
2021-07-07,12
2021-07-08,16
2021-07-10,14
2021-07-12,12
2021-07-13,10
2021-07-14,14
2021-07-15,20
2021-07-18,14
2021-07-20,14
2021-07-22,30
2021-07-24,16
2021-07-26,10
2021-07-27,10
2021-07-28,10
2021-08-01,14
2021-08-02,10
2021-08-03,16
2021-08-07,12
2021-08-08,16
2021-08-09,20
2021-08-10,16
2021-08-11,18
2021-08-12,34
2021-08-13,16
2021-08-14,10
2021-08-15,10
2021-08-17,16
2021-08-18,16
2021-08-19,12
2021-08-20,26
2021-08-21,22
2021-08-22,10
2021-08-23,18
2021-08-24,14
2021-08-25,18
2021-08-27,14
2021-08-28,12
2021-08-29,10
2021-08-30,30
2021-08-31,12
2021-09-01,16
2021-09-02,26
2021-09-03,20
2021-09-04,20
2021-09-05,14
2021-09-06,10
2021-09-07,18
2021-09-08,24
2021-09-09,12
2021-09-11,10
2021-09-12,14
2021-09-14,16
2021-09-16,14
2021-09-23,34
2021-09-24,20
2021-09-25,10
2021-09-26,26
2021-09-27,20
2021-09-28,22
2021-09-30,10
2021-10-01,30
2021-10-02,24
2021-10-03,14
2021-10-04,10
2021-10-05,24
2021-10-06,18
2021-10-07,40
2021-10-08,12
2021-10-09,10
2021-10-11,14
2021-10-12,14
2021-10-13,20
2021-10-14,22
2021-10-15,10
2021-10-17,16
2021-10-18,10
2021-10-19,18
2021-10-20,14
2021-10-21,10
2021-10-24,12
2021-10-26,20
2021-10-27,10
2021-10-28,26
2021-10-29,10
2021-10-30,14
2021-10-31,12
2021-11-01,22
2021-11-03,28
2021-11-06,12
2021-11-08,10
2021-11-09,10
2021-11-11,10
2021-11-12,20
2021-11-14,12
2021-11-16,22
2021-11-19,10
2021-11-22,12
2021-11-23,18
2021-11-24,12
2021-11-25,22
2021-11-29,18
2021-11-30,32
2021-12-01,12
2021-12-02,12
2021-12-04,12
2021-12-06,12
2021-12-07,16
2021-12-08,10
2021-12-09,12
2021-12-12,20
2021-12-17,20
2021-12-18,10
2021-12-19,14
2021-12-20,12
2021-12-21,20
2021-12-22,12
2021-12-26,10
2021-12-27,32
2021-12-28,28
2021-12-29,22
2021-12-30,14
2021-12-31,10
2022-01-01,24
2022-01-02,22
2022-01-03,12
2022-01-04,20
2022-01-06,20
2022-01-07,12
2022-01-10,12
2022-01-11,28
2022-01-12,22
2022-01-14,18
2022-01-15,14
2022-01-16,18
2022-01-17,28
2022-01-18,24
2022-01-19,40
2022-01-20,26
2022-01-21,20
2022-01-24,16
2022-01-26,12
2022-01-27,12
2022-01-28,18
2022-01-29,22
2022-01-31,10
2022-02-01,14
2022-02-02,28
2022-02-03,10
2022-02-04,42
2022-02-05,18
2022-02-06,12
2022-02-07,32
2022-02-08,24
2022-02-09,28
2022-02-10,28
2022-02-11,40
2022-02-13,14
2022-02-14,28
2022-02-15,34
2022-02-17,20
2022-02-18,14
2022-02-19,12
2022-02-20,10
2022-02-21,16
2022-02-22,32
2022-02-23,26
2022-02-24,14
2022-02-25,22
2022-02-26,18
2022-02-27,14
2022-02-28,20
2022-03-01,22
2022-03-02,18
2022-03-03,20
2022-03-04,28
2022-03-05,12
2022-03-06,16
2022-03-07,14
2022-03-08,12
2022-03-10,16
2022-03-11,14
2022-03-12,10
2022-03-14,36
2022-03-15,20
2022-03-17,10
2022-03-20,16
2022-03-22,18
2022-03-23,12
2022-03-24,20
2022-03-25,10
2022-03-26,16
2022-03-27,10
2022-04-01,20
2022-04-02,14
2022-04-04,22
2022-04-05,22
2022-04-07,24
2022-04-09,12
2022-04-11,18
2022-04-13,16
2022-04-14,10
2022-04-15,12
2022-04-16,10
2022-04-18,16
2022-04-20,10
2022-04-21,22
2022-04-24,16
2022-04-25,26
2022-04-26,30
2022-04-27,12
2022-04-28,18
2022-04-30,16
2022-05-01,12
2022-05-02,14
2022-05-04,10
2022-05-06,14
2022-05-09,10
2022-05-10,18
2022-05-12,24
2022-05-13,14
2022-05-15,12
2022-05-16,16
2022-05-17,18
2022-05-22,24
2022-05-23,38
2022-05-24,28
2022-05-25,14
2022-05-27,20
2022-05-29,18
2022-05-30,20
2022-05-31,28
2022-06-01,48
2022-06-02,14
2022-06-03,40
2022-06-05,12
2022-06-06,14
2022-06-07,18
2022-06-08,18
2022-06-09,14
2022-06-10,26
2022-06-12,16
2022-06-13,28
2022-06-14,26
2022-06-15,12
2022-06-16,20
2022-06-17,14
2022-06-19,14
2022-06-21,12
2022-06-22,22
2022-06-23,16
2022-06-25,18
2022-06-27,22
2022-06-28,16
2022-06-29,20
2022-06-30,26
2022-07-01,48
2022-07-02,28
2022-07-03,16
2022-07-04,20
2022-07-05,10
2022-07-06,22
2022-07-07,12
2022-07-08,18
2022-07-09,10
2022-07-11,18
2022-07-12,18
2022-07-13,34
2022-07-14,12
2022-07-15,14
2022-07-16,18
2022-07-17,10
2022-07-18,28
2022-07-19,16
2022-07-20,42
2022-07-21,14
2022-07-22,22
2022-07-23,20
2022-07-24,32
2022-07-25,40
2022-07-26,20
2022-07-27,38
2022-07-28,14
2022-07-29,10
2022-07-30,18
2022-07-31,12
2022-08-01,40
2022-08-02,28
2022-08-03,46
2022-08-04,10
2022-08-05,22
2022-08-06,40
2022-08-07,16
2022-08-08,16
2022-08-09,44
2022-08-10,20
2022-08-11,22
2022-08-12,28
2022-08-14,14
2022-08-15,14
2022-08-16,52
2022-08-17,32
2022-08-18,18
2022-08-19,18
2022-08-20,10
2022-08-21,20
2022-08-22,56
2022-08-23,10
2022-08-24,16
2022-08-25,44
2022-08-26,40
2022-08-27,18
2022-08-28,18
2022-08-29,12
2022-08-30,24
2022-08-31,50
2022-09-01,38
2022-09-02,42
2022-09-03,24
2022-09-04,20
2022-09-05,18
2022-09-06,36
2022-09-07,30
2022-09-08,12
2022-09-09,16
2022-09-10,14
2022-09-11,10
2022-09-12,20
2022-09-13,28
2022-09-14,32
2022-09-15,10
2022-09-16,20
2022-09-17,10
2022-09-19,36
2022-09-20,16
2022-09-21,50
2022-09-22,18
2022-09-23,34
2022-09-24,12
2022-09-25,18
2022-09-26,20
2022-09-27,26
2022-09-28,26
2022-09-29,24
2022-09-30,12
2022-10-01,28
2022-10-02,16
2022-10-03,26
2022-10-04,44
2022-10-05,34
2022-10-06,20
2022-10-07,18
2022-10-08,14
2022-10-09,10
2022-10-10,24
2022-10-11,28
2022-10-12,24
2022-10-13,44
2022-10-14,24
2022-10-16,10
2022-10-17,28
2022-10-18,14
2022-10-19,16
2022-10-20,26
2022-10-21,14
2022-10-22,14
2022-10-23,26
2022-10-24,44
2022-10-25,16
2022-10-26,36
2022-10-27,36
2022-10-28,36
2022-10-29,18
2022-10-31,14
2022-11-01,58
2022-11-02,28
2022-11-03,38
2022-11-06,10
2022-11-07,26
2022-11-08,24
2022-11-09,34
2022-11-10,38
2022-11-11,16
2022-11-12,26
2022-11-13,14
2022-11-14,22
2022-11-15,30
2022-11-16,10
2022-11-17,26
2022-11-18,22
2022-11-19,22
2022-11-21,26
2022-11-22,28
2022-11-23,20
2022-11-24,10
2022-11-25,26
2022-11-26,14
2022-11-27,12
2022-11-28,18
2022-11-29,26
2022-12-01,48
2022-12-03,16
2022-12-04,38
2022-12-05,48
2022-12-06,30
2022-12-07,30
2022-12-08,34
2022-12-09,36
2022-12-10,10
2022-12-11,26
2022-12-12,42
2022-12-13,14
2022-12-14,74
2022-12-15,40
2022-12-18,22
2022-12-19,12
2022-12-20,32
2022-12-21,24
2022-12-22,10
2022-12-23,14
2022-12-25,18
2022-12-26,48
2022-12-27,34
2022-12-28,18
2022-12-29,16
2022-12-30,14
2022-12-31,22
