date,신용카드사
2020-03-20,42
2020-03-21,14
2020-03-22,16
2020-03-23,40
2020-03-24,40
2020-03-25,26
2020-03-26,20
2020-03-27,50
2020-03-30,48
2020-03-31,28
2020-04-01,34
2020-04-02,30
2020-04-03,20
2020-04-06,42
2020-04-07,40
2020-04-08,44
2020-04-09,42
2020-04-10,38
2020-04-11,10
2020-04-12,16
2020-04-13,62
2020-04-14,44
2020-04-15,20
2020-04-16,44
2020-04-17,46
2020-04-18,12
2020-04-20,48
2020-04-21,50
2020-04-22,50
2020-04-23,50
2020-04-24,40
2020-04-26,36
2020-04-27,70
2020-04-28,34
2020-04-29,60
2020-04-30,34
2020-05-01,30
2020-05-02,20
2020-05-03,22
2020-05-04,44
2020-05-05,22
2020-05-06,70
2020-05-07,76
2020-05-08,68
2020-05-09,16
2020-05-10,18
2020-05-11,92
2020-05-12,72
2020-05-13,80
2020-05-14,50
2020-05-15,60
2020-05-16,12
2020-05-18,50
2020-05-19,66
2020-05-20,40
2020-05-21,48
2020-05-22,44
2020-05-25,44
2020-05-26,24
2020-05-27,42
2020-05-28,18
2020-05-29,32
2020-06-01,42
2020-06-02,46
2020-06-03,32
2020-06-04,48
2020-06-05,32
2020-06-08,36
2020-06-09,44
2020-06-10,56
2020-06-11,40
2020-06-12,40
2020-06-13,14
2020-06-14,10
2020-06-15,34
2020-06-16,44
2020-06-17,38
2020-06-18,32
2020-06-19,32
2020-06-22,54
2020-06-23,36
2020-06-24,40
2020-06-25,30
2020-06-26,26
2020-06-27,16
2020-06-29,38
2020-06-30,28
2020-07-01,52
2020-07-02,36
2020-07-03,26
2020-07-04,22
2020-07-05,12
2020-07-06,36
2020-07-07,32
2020-07-08,38
2020-07-09,44
2020-07-10,34
2020-07-11,10
2020-07-12,14
2020-07-13,56
2020-07-14,48
2020-07-15,44
2020-07-16,36
2020-07-17,38
2020-07-19,12
2020-07-20,38
2020-07-21,40
2020-07-22,42
2020-07-23,40
2020-07-24,30
2020-07-25,10
2020-07-26,14
2020-07-27,42
2020-07-28,22
2020-07-29,24
2020-07-30,36
2020-07-31,28
2020-08-02,18
2020-08-03,10
2020-08-04,32
2020-08-05,18
2020-08-06,18
2020-08-07,38
2020-08-08,26
2020-08-10,30
2020-08-11,34
2020-08-12,36
2020-08-13,32
2020-08-14,30
2020-08-15,22
2020-08-16,14
2020-08-18,34
2020-08-19,36
2020-08-20,26
2020-08-21,22
2020-08-24,48
2020-08-25,14
2020-08-26,36
2020-08-27,46
2020-08-28,40
2020-08-29,12
2020-08-30,12
2020-08-31,10
2020-09-01,44
2020-09-02,44
2020-09-03,46
2020-09-04,16
2020-09-05,10
2020-09-07,16
2020-09-08,30
2020-09-09,34
2020-09-10,30
2020-09-11,28
2020-09-12,16
2020-09-13,12
2020-09-14,30
2020-09-15,38
2020-09-16,48
2020-09-17,36
2020-09-18,14
2020-09-19,12
2020-09-20,12
2020-09-22,20
2020-09-23,30
2020-09-24,24
2020-09-25,34
2020-09-26,12
2020-09-27,14
2020-09-28,16
2020-09-29,14
2020-09-30,16
2020-10-03,12
2020-10-04,10
2020-10-05,36
2020-10-06,40
2020-10-07,20
2020-10-08,32
2020-10-09,12
2020-10-11,20
2020-10-12,16
2020-10-13,30
2020-10-14,28
2020-10-15,34
2020-10-16,42
2020-10-17,14
2020-10-18,14
2020-10-19,32
2020-10-20,42
2020-10-21,46
2020-10-22,34
2020-10-23,34
2020-10-25,14
2020-10-26,28
2020-10-27,46
2020-10-28,30
2020-10-29,46
2020-10-30,40
2020-10-31,24
2020-11-01,12
2020-11-02,32
2020-11-03,44
2020-11-04,50
2020-11-05,22
2020-11-06,28
2020-11-07,14
2020-11-08,10
2020-11-09,30
2020-11-10,38
2020-11-11,18
2020-11-12,44
2020-11-16,30
2020-11-17,30
2020-11-18,36
2020-11-19,50
2020-11-20,18
2020-11-22,22
2020-11-23,16
2020-11-24,28
2020-11-25,26
2020-11-26,14
2020-11-27,14
2020-11-28,10
2020-11-30,24
2020-12-01,42
2020-12-02,28
2020-12-03,34
2020-12-04,40
2020-12-06,12
2020-12-07,40
2020-12-08,52
2020-12-09,38
2020-12-10,36
2020-12-11,22
2020-12-13,14
2020-12-14,38
2020-12-15,26
2020-12-16,36
2020-12-17,28
2020-12-18,26
2020-12-20,16
2020-12-21,38
2020-12-22,38
2020-12-23,32
2020-12-24,12
2020-12-25,12
2020-12-26,12
2020-12-28,18
2020-12-29,38
2020-12-30,10
2020-12-31,34
2021-01-02,16
2021-01-03,30
2021-01-04,26
2021-01-05,38
2021-01-06,44
2021-01-07,10
2021-01-08,30
2021-01-09,16
2021-01-11,44
2021-01-12,34
2021-01-13,66
2021-01-14,54
2021-01-15,16
2021-01-17,10
2021-01-18,44
2021-01-19,66
2021-01-20,38
2021-01-21,32
2021-01-22,42
2021-01-23,26
2021-01-24,16
2021-01-25,38
2021-01-26,34
2021-01-27,18
2021-01-28,46
2021-01-29,14
2021-01-30,14
2021-01-31,10
2021-02-01,26
2021-02-02,34
2021-02-03,34
2021-02-04,42
2021-02-05,12
2021-02-06,10
2021-02-08,34
2021-02-09,26
2021-02-10,12
2021-02-11,14
2021-02-12,10
2021-02-13,18
2021-02-15,16
2021-02-16,14
2021-02-17,34
2021-02-18,14
2021-02-19,10
2021-02-21,12
2021-02-22,28
2021-02-23,38
2021-02-24,28
2021-02-25,40
2021-02-26,36
2021-03-01,20
2021-03-02,38
2021-03-03,44
2021-03-04,24
2021-03-08,16
2021-03-09,18
2021-03-10,22
2021-03-11,38
2021-03-12,30
2021-03-14,18
2021-03-15,32
2021-03-16,22
2021-03-17,36
2021-03-18,16
2021-03-19,50
2021-03-20,12
2021-03-22,28
2021-03-23,40
2021-03-24,18
2021-03-25,30
2021-03-26,42
2021-03-28,12
2021-03-29,26
2021-03-30,30
2021-03-31,24
2021-04-01,30
2021-04-02,12
2021-04-03,12
2021-04-05,12
2021-04-06,28
2021-04-07,46
2021-04-08,44
2021-04-09,26
2021-04-12,34
2021-04-13,42
2021-04-14,30
