date,금융상품
2020-03-20,47.0
2020-03-21,30.0
2020-03-22,38.5
2020-03-23,37.5
2020-03-24,37.5
2020-03-25,49.0
2020-03-26,58.5
2020-03-27,39.5
2020-03-28,23.0
2020-03-29,24.5
2020-03-30,37.5
2020-03-31,44.0
2020-04-01,42.5
2020-04-02,44.5
2020-04-03,40.99999
2020-04-04,31.5
2020-04-05,31.0
2020-04-06,44.5
2020-04-07,41.5
2020-04-08,51.0
2020-04-09,42.0
2020-04-10,40.5
2020-04-11,22.5
2020-04-12,24.0
2020-04-13,33.5
2020-04-14,39.5
2020-04-15,33.5
2020-04-16,43.5
2020-04-17,40.0
2020-04-18,27.5
2020-04-19,25.0
2020-04-20,54.5
2020-04-21,36.0
2020-04-22,50.5
2020-04-23,47.5
2020-04-24,37.0
2020-04-25,18.0
2020-04-26,27.0
2020-04-27,32.5
2020-04-28,42.0
2020-04-29,37.5
2020-04-30,19.0
2020-05-01,22.5
2020-05-02,25.5
2020-05-03,28.0
2020-05-04,38.0
2020-05-05,27.5
2020-05-06,44.5
2020-05-07,52.5
2020-05-08,71.0
2020-05-09,45.0
2020-05-10,59.5
2020-05-11,94.0
2020-05-12,89.5
2020-05-13,54.5
2020-05-14,45.0
2020-05-15,48.0
2020-05-16,21.0
2020-05-17,17.5
2020-05-18,40.0
2020-05-19,48.0
2020-05-20,37.0
2020-05-21,40.99999
2020-05-22,36.0
2020-05-23,22.0
2020-05-24,20.0
2020-05-25,44.0
2020-05-26,42.5
2020-05-27,39.5
2020-05-28,38.0
2020-05-29,31.5
2020-05-30,23.0
2020-05-31,23.0
2020-06-01,51.5
2020-06-02,43.0
2020-06-03,40.99999
2020-06-04,44.5
2020-06-05,46.0
2020-06-06,21.0
2020-06-07,30.0
2020-06-08,42.0
2020-06-09,44.5
2020-06-10,54.5
2020-06-11,36.5
2020-06-12,35.5
2020-06-13,25.5
2020-06-14,31.5
2020-06-15,46.0
2020-06-16,54.5
2020-06-17,68.99999
2020-06-18,50.0
2020-06-19,36.5
2020-06-20,36.0
2020-06-21,32.0
2020-06-22,42.5
2020-06-23,53.5
2020-06-24,73.0
2020-06-25,57.5
2020-06-26,48.0
2020-06-27,25.0
2020-06-28,44.0
2020-06-29,49.0
2020-06-30,48.5
2020-07-01,49.5
2020-07-02,51.5
2020-07-03,42.0
2020-07-04,24.0
2020-07-05,37.5
2020-07-06,74.0
2020-07-07,50.0
2020-07-08,46.5
2020-07-09,41.5
2020-07-10,40.5
2020-07-11,27.0
2020-07-12,32.5
2020-07-13,38.0
2020-07-14,39.5
2020-07-15,27.5
2020-07-16,31.5
2020-07-17,29.0
2020-07-18,17.0
2020-07-19,20.49999
2020-07-20,37.5
2020-07-21,33.0
2020-07-22,35.0
2020-07-23,32.5
2020-07-24,30.5
2020-07-25,19.0
2020-07-26,16.5
2020-07-27,33.0
2020-07-28,33.5
2020-07-29,23.0
2020-07-30,39.5
2020-07-31,30.5
2020-08-01,16.0
2020-08-02,16.0
2020-08-03,33.5
2020-08-04,39.0
2020-08-05,35.0
2020-08-06,38.5
2020-08-07,37.0
2020-08-08,14.0
2020-08-09,23.0
2020-08-10,39.0
2020-08-11,40.5
2020-08-12,56.49999
2020-08-13,45.0
2020-08-14,36.0
2020-08-15,14.5
2020-08-16,15.5
2020-08-17,18.0
2020-08-18,25.0
2020-08-19,34.49999
2020-08-20,26.5
2020-08-21,25.5
2020-08-22,16.5
2020-08-23,19.5
2020-08-24,33.5
2020-08-25,36.5
2020-08-26,39.0
2020-08-27,29.0
2020-08-28,33.5
2020-08-29,15.5
2020-08-30,20.0
2020-08-31,37.0
2020-09-01,52.0
2020-09-02,42.0
2020-09-03,31.5
2020-09-04,40.5
2020-09-05,18.5
2020-09-06,23.0
2020-09-07,37.5
2020-09-08,52.0
2020-09-09,51.5
2020-09-10,57.5
2020-09-11,35.0
2020-09-12,24.5
2020-09-13,29.0
2020-09-14,49.5
2020-09-15,42.0
2020-09-16,58.5
2020-09-17,49.5
2020-09-18,42.5
2020-09-19,22.0
2020-09-20,41.5
2020-09-21,100.0
2020-09-22,80.5
2020-09-23,53.0
2020-09-24,62.5
2020-09-25,33.5
2020-09-26,18.0
2020-09-27,35.5
2020-09-28,58.0
2020-09-29,40.0
2020-09-30,15.5
2020-10-01,15.0
2020-10-02,19.0
2020-10-03,21.0
2020-10-04,37.5
2020-10-05,57.5
2020-10-06,64.5
2020-10-07,50.0
2020-10-08,40.5
2020-10-09,29.0
2020-10-10,23.0
2020-10-11,34.0
2020-10-12,50.5
2020-10-13,50.5
2020-10-14,40.99999
2020-10-15,47.0
2020-10-16,34.0
2020-10-17,25.0
2020-10-18,38.5
2020-10-19,74.0
2020-10-20,49.5
2020-10-21,45.5
2020-10-22,64.5
2020-10-23,76.5
2020-10-24,47.0
2020-10-25,68.99999
2020-10-26,46.0
2020-10-27,61.5
2020-10-28,55.5
2020-10-29,51.0
2020-10-30,37.0
2020-10-31,19.5
2020-11-01,26.0
2020-11-02,37.5
2020-11-03,34.49999
2020-11-04,27.5
2020-11-05,40.5
2020-11-06,34.49999
2020-11-07,17.0
2020-11-08,38.5
2020-11-09,40.99999
2020-11-10,54.0
2020-11-11,39.0
2020-11-12,47.5
2020-11-13,40.5
2020-11-14,25.0
2020-11-15,34.49999
2020-11-16,58.5
2020-11-17,58.0
2020-11-18,45.0
2020-11-19,56.0
2020-11-20,50.5
2020-11-21,32.5
2020-11-22,60.0
2020-11-23,91.0
2020-11-24,38.5
2020-11-25,52.0
2020-11-26,43.5
2020-11-27,46.5
2020-11-28,34.49999
2020-11-29,33.5
2020-11-30,54.0
2020-12-01,39.0
2020-12-02,44.0
2020-12-03,37.0
2020-12-04,46.5
2020-12-05,31.0
2020-12-06,29.5
2020-12-07,55.5
2020-12-08,51.5
2020-12-09,53.5
2020-12-10,47.0
2020-12-11,47.5
2020-12-12,34.0
2020-12-13,22.0
2020-12-14,50.0
2020-12-15,60.0
2020-12-16,46.5
2020-12-17,81.99999
2020-12-18,40.99999
2020-12-19,19.5
2020-12-20,16.5
2020-12-21,49.0
2020-12-22,45.0
2020-12-23,30.5
2020-12-24,25.5
2020-12-25,13.0
2020-12-26,17.5
2020-12-27,31.0
2020-12-28,34.49999
2020-12-29,43.0
2020-12-30,28.49999
2020-12-31,25.0
2021-01-01,14.5
2021-01-02,15.5
2021-01-03,28.49999
2021-01-04,31.5
2021-01-05,31.0
2021-01-06,39.0
2021-01-07,46.0
2021-01-08,30.5
2021-01-09,14.5
2021-01-10,16.0
2021-01-11,43.0
2021-01-12,37.0
2021-01-13,36.5
2021-01-14,37.0
2021-01-15,27.0
2021-01-16,15.0
2021-01-17,14.5
2021-01-18,22.0
2021-01-19,30.5
2021-01-20,27.0
2021-01-21,34.0
2021-01-22,38.0
2021-01-23,16.0
2021-01-24,20.0
2021-01-25,34.49999
2021-01-26,37.5
2021-01-27,33.0
2021-01-28,29.0
2021-01-29,34.0
2021-01-30,16.5
2021-01-31,20.49999
2021-02-01,31.0
2021-02-02,28.0
2021-02-03,31.0
2021-02-04,29.5
2021-02-05,22.0
2021-02-06,12.0
2021-02-07,17.5
2021-02-08,29.0
2021-02-09,27.5
2021-02-10,28.0
2021-02-11,16.0
2021-02-12,15.0
2021-02-13,17.0
2021-02-14,22.0
2021-02-15,43.5
2021-02-16,36.0
2021-02-17,39.0
2021-02-18,32.5
2021-02-19,27.0
2021-02-20,13.5
2021-02-21,15.0
2021-02-22,31.5
2021-02-23,32.5
2021-02-24,29.0
2021-02-25,32.0
2021-02-26,22.5
2021-02-27,10.5
2021-02-28,13.5
2021-03-01,20.0
2021-03-02,33.5
2021-03-03,47.0
2021-03-04,46.5
2021-03-05,35.5
2021-03-06,17.0
2021-03-07,23.0
2021-03-08,46.5
2021-03-09,32.5
2021-03-10,28.49999
2021-03-11,37.0
2021-03-12,30.5
2021-03-13,21.5
2021-03-14,28.0
2021-03-15,39.0
2021-03-16,33.5
2021-03-17,39.0
2021-03-18,47.5
2021-03-19,35.5
2021-03-20,29.5
2021-03-21,37.0
2021-03-22,47.5
2021-03-23,43.5
2021-03-24,40.5
2021-03-25,48.5
2021-03-26,45.5
2021-03-27,27.0
2021-03-28,25.0
2021-03-29,45.0
2021-03-30,55.0
2021-03-31,53.0
2021-04-01,38.0
2021-04-02,42.0
2021-04-03,27.0
2021-04-04,29.0
2021-04-05,49.5
2021-04-06,37.5
2021-04-07,40.99999
2021-04-08,47.0
2021-04-09,55.0
2021-04-10,24.0
2021-04-11,18.0
2021-04-12,45.5
2021-04-13,47.0
2021-04-14,41.5
2021-04-15,37.5
2021-04-16,41.5
2021-04-17,16.0
2021-04-18,27.0
2021-04-19,53.5
2021-04-20,58.0
2021-04-21,47.0
2021-04-22,52.0
2021-04-23,40.0
2021-04-24,20.0
2021-04-25,28.0
2021-04-26,45.5
2021-04-27,44.0
2021-04-28,51.5
