date,프리랜서계약서
2020-03-20,36.25
2020-03-21,15.0
2020-03-22,8.4375
2020-03-23,54.0625
2020-03-24,48.4375
2020-03-25,30.9375
2020-03-26,41.875
2020-03-27,43.4375
2020-03-28,13.4375
2020-03-29,14.0625
2020-03-30,47.5
2020-03-31,41.25
2020-04-01,50.3125
2020-04-02,52.5
2020-04-03,48.75
2020-04-04,22.1875
2020-04-05,17.5
2020-04-06,60.0
2020-04-07,54.0625
2020-04-08,56.5625
2020-04-09,61.5625
2020-04-10,65.0
2020-04-11,25.3125
2020-04-12,18.4375
2020-04-13,78.75
2020-04-14,62.1875
2020-04-15,31.875
2020-04-16,74.6875
2020-04-17,68.75
2020-04-18,21.25
2020-04-19,19.375
2020-04-20,63.75
2020-04-21,54.0625
2020-04-22,57.8125
2020-04-23,60.9375
2020-04-24,45.0
2020-04-25,18.125
2020-04-26,17.8125
2020-04-27,60.0
2020-04-28,58.4375
2020-04-29,55.3125
2020-04-30,18.75
2020-05-01,30.3125
2020-05-02,12.5
2020-05-03,13.75
2020-05-04,42.8125
2020-05-05,24.6875
2020-05-06,53.125
2020-05-07,50.0
2020-05-08,42.5
2020-05-09,16.25
2020-05-10,18.125
2020-05-11,39.6875
2020-05-12,48.125
2020-05-13,40.0
2020-05-14,34.6875
2020-05-15,34.0625
2020-05-16,11.5625
2020-05-17,13.75
2020-05-18,38.75
2020-05-19,43.125
2020-05-20,35.625
2020-05-21,45.0
2020-05-22,28.125
2020-05-23,12.1875
2020-05-24,13.125
2020-05-25,37.5
2020-05-26,35.9375
2020-05-27,38.4375
2020-05-28,27.1875
2020-05-29,35.625
2020-05-30,10.625
2020-05-31,16.25
2020-06-01,55.625
2020-06-02,48.75
2020-06-03,49.0625
2020-06-04,45.625
2020-06-05,35.0
2020-06-06,13.75
2020-06-07,11.875
2020-06-08,45.9375
2020-06-09,35.625
2020-06-10,37.1875
2020-06-11,36.5625
2020-06-12,31.5625
2020-06-13,13.125
2020-06-14,13.125
2020-06-15,35.625
2020-06-16,30.0
2020-06-17,31.5625
2020-06-18,34.0625
2020-06-19,20.0
2020-06-20,8.4375
2020-06-21,13.75
2020-06-22,38.125
2020-06-23,32.5
2020-06-24,32.5
2020-06-25,38.4375
2020-06-26,24.6875
2020-06-27,16.25
2020-06-28,13.125
2020-06-29,44.0625
2020-06-30,43.75
2020-07-01,44.6875
2020-07-02,38.4375
2020-07-03,28.125
2020-07-04,13.75
2020-07-05,10.0
2020-07-06,49.0625
2020-07-07,40.3125
2020-07-08,43.125
2020-07-09,35.3125
2020-07-10,28.75
2020-07-11,14.6875
2020-07-12,12.5
2020-07-13,37.1875
2020-07-14,45.9375
2020-07-15,35.625
2020-07-16,37.5
2020-07-17,31.875
2020-07-18,15.3125
2020-07-19,18.125
2020-07-20,35.9375
2020-07-21,36.875
2020-07-22,26.875
2020-07-23,29.6875
2020-07-24,27.1875
2020-07-25,12.8125
2020-07-26,9.375
2020-07-27,41.875
2020-07-28,33.4375
2020-07-29,29.6875
2020-07-30,38.75
2020-07-31,25.9375
2020-08-01,10.9375
2020-08-02,11.875
2020-08-03,29.0625
2020-08-04,39.0625
2020-08-05,31.25
2020-08-06,26.5625
2020-08-07,24.6875
2020-08-08,10.9375
2020-08-09,12.5
2020-08-10,35.625
2020-08-11,30.625
2020-08-12,27.1875
2020-08-13,27.8125
2020-08-14,26.25
2020-08-15,3.125
2020-08-16,6.875
2020-08-17,19.0625
2020-08-18,32.1875
2020-08-19,25.3125
2020-08-20,28.125
2020-08-21,20.3125
2020-08-22,13.125
2020-08-23,8.4375
2020-08-24,48.125
2020-08-25,36.25
2020-08-26,39.0625
2020-08-27,38.4375
2020-08-28,34.6875
2020-08-29,13.4375
2020-08-30,10.9375
2020-08-31,47.1875
2020-09-01,45.0
2020-09-02,59.6875
2020-09-03,39.0625
2020-09-04,25.9375
2020-09-05,10.3125
2020-09-06,14.0625
2020-09-07,37.5
2020-09-08,35.9375
2020-09-09,38.4375
2020-09-10,40.9375
2020-09-11,37.5
2020-09-12,13.75
2020-09-13,11.5625
2020-09-14,40.0
2020-09-15,31.25
2020-09-16,38.125
2020-09-17,39.375
2020-09-18,31.875
2020-09-19,15.3125
2020-09-20,13.125
2020-09-21,45.9375
2020-09-22,39.6875
2020-09-23,47.5
2020-09-24,39.0625
2020-09-25,27.5
2020-09-26,16.5625
2020-09-27,9.6875
2020-09-28,34.0625
2020-09-29,26.875
2020-09-30,12.5
2020-10-01,6.5625
2020-10-02,8.125
2020-10-03,13.125
2020-10-04,17.8125
2020-10-05,41.25
2020-10-06,40.625
2020-10-07,38.125
2020-10-08,35.625
2020-10-09,16.5625
2020-10-10,12.5
2020-10-11,15.3125
2020-10-12,33.125
2020-10-13,37.8125
2020-10-14,44.6875
2020-10-15,38.125
2020-10-16,33.4375
2020-10-17,12.1875
2020-10-18,13.4375
2020-10-19,40.625
2020-10-20,43.75
2020-10-21,37.1875
2020-10-22,33.125
2020-10-23,30.9375
2020-10-24,10.3125
2020-10-25,15.3125
2020-10-26,43.75
2020-10-27,40.9375
2020-10-28,35.625
2020-10-29,46.5625
2020-10-30,36.5625
2020-10-31,14.0625
2020-11-01,16.5625
2020-11-02,49.6875
2020-11-03,47.1875
2020-11-04,44.375
2020-11-05,42.8125
2020-11-06,36.875
2020-11-07,15.625
2020-11-08,13.4375
2020-11-09,46.25
2020-11-10,53.125
2020-11-11,39.0625
2020-11-12,38.75
2020-11-13,38.125
2020-11-14,13.75
2020-11-15,12.1875
2020-11-16,45.9375
2020-11-17,49.6875
2020-11-18,38.4375
2020-11-19,36.25
2020-11-20,35.9375
2020-11-21,10.625
2020-11-22,16.5625
2020-11-23,34.0625
2020-11-24,36.25
2020-11-25,40.0
2020-11-26,41.25
2020-11-27,32.8125
2020-11-28,12.1875
2020-11-29,11.5625
2020-11-30,50.625
2020-12-01,49.0625
2020-12-02,38.75
2020-12-03,41.875
2020-12-04,33.125
2020-12-05,16.25
2020-12-06,15.3125
2020-12-07,45.0
2020-12-08,36.875
